municipio_distrito;casos_confirmados_P60mas_ultimos_14dias;tasa_incidencia_acumulada_P60mas_ultimos_14dias;codigo_geometria
Pinilla del Valle;;0;1126
Valdemaqueda;;0;1599
Navas del Rey;;0;992
Olmeda de las Fuentes;;2702,7;1013
Bustarviejo;;0;284
Becerril de la Sierra;;219,46;186
Fuenlabrada;78;179,35;587
Garganta de los Montes;;0;626
Pinto;23;243,7;1132
Alameda del Valle;;0;35
Berzosa del Lozoya;;0;203
Los Santos de la Humosa;;0;1375
El Álamo;6;265,6;40
Pelayos de la Presa;;0;1090
Galapagar;16;230,41;611
Griñón;;90,74;663
Gargantilla del Lozoya y Pinilla de Buitrago;;1960,78;632
Aldea del Fresno;;0;88
Carabaña;;204,92;357
Talamanca de Jarama;;275,48;1454
Chapinería;;369;513
Ciempozuelos;7;140,79;409
Ajalvir;7;979,02;29
San Lorenzo de El Escorial;7;155,8;1317
Gascones;;0;647
San Martín de la Vega;6;199,27;1322
Móstoles;116;200,89;920
Leganés;105;201,37;745
Braojos;;0;246
Cubas de la Sagra;;101,42;506
Algete;26;629,54;91
Mejorada del Campo;;64,49;843
Loeches;;0;758
Parla;44;193,99;1065
Fuentidueña de Tajo;;175,44;604
Ambite;;1190,48;112
Torremocha de Jarama;;282,49;1533
Anchuelo;;374,53;127
Los Molinos;;81,9;875
Soto del Real;;186,13;1441
Valverde de Alcalá;;0;1662
Fuente el Saz de Jarama;;286,33;590
Horcajo de la Sierra-Aoslos;;0;702
Valdeolmos-Alalpardo;;151,52;1625
Campo Real;;87,8;339
Valdeavero;;643,09;1564
Villamanrique de Tajo;;469,48;1739
Cobeña;;0;416
Fresnedillas de la Oliva;;0;565
Valdilecha;;163,67;1659
El Berrueco;;0;210
Pezuela de las Torres;;0;1111
Villar del Olmo;7;1559,02;1795
Guadarrama;;78,1;685
San Martín de Valdeiglesias;;177,78;1338
Torrelodones;;103,61;1527
Boadilla del Monte;29;318,16;225
Torrejón de Velasco;;121,95;1505
Villanueva de Perales;;0;1782
Tielmes;;0;1467
San Sebastián de los Reyes;25;136,24;1343
Guadalix de la Sierra;;0;679
Humanes de Madrid;8;283,49;730
Chinchón;;277,78;528
Cadalso de los Vidrios;;111,86;318
Hoyo de Manzanares;;0;724
Torrejón de la Calzada;;132,71;1492
Estremera;;0;552
Corpa;;0;480
Meco;;194,46;838
Madarcos;;0;783
Zarzalejo;;237,53;1837
Arganda del Rey;17;167,39;148
Collado Mediano;;64,64;468
Daganzo de Arriba;;79,11;534
Manzanares El Real;;0;822
Buitrago del Lozoya;;209,64;278
Valdelaguna;;0;1570
Valdepiélagos;;0;1631
Casarrubuelos;;154,8;360
Miraflores de la Sierra;;288,81;856
Paracuellos de Jarama;;67,05;1049
El Vellón;;0;1684
Lozoya;;483,09;761
Collado Villalba;6;45,53;474
Colmenarejo;;0;442
Villavieja del Lozoya;;0;1821
Prádena del Rincón;;0;1179
La Cabrera;;156,25;301
Sevilla la Nueva;;134,68;1415
La Acebeda;;0;14
Redueña;;0;1219
Robledillo de la Jara;;0;1245
La Serna del Monte;;0;1381
Colmenar de Oreja;;143,4;437
Rozas de Puerto Real;;995,02;1283
Valdemanco;;0;1586
Brunete;;107,07;262
Titulcia;;0;1473
Villa del Prado;;315,26;1718
Lozoyuela-Navas-Sieteiglesias;;0;9015
Quijorna;;168,63;1198
Valdemoro;49;446,27;1610
Tres Cantos;7;69,62;9036
Torrelaguna;;92,25;1512
Rivas-Vaciamadrid;14;101,95;1230
El Atazar;;0;164
Pedrezuela;;422,83;1087
Santa María de la Alameda;;256,41;1356
Horcajuelo de la Sierra;;0;719
Arroyomolinos;;124,46;151
Moralzarzal;;79,52;908
Canencia;;0;344
Villarejo de Salvanés;;115,21;1809
Serranillos del Valle;;0;1408
Villaviciosa de Odón;6;81,38;1816
Camarma de Esteruelas;;242,91;323
Robledo de Chavela;;255,75;1258
Patones;6;3208,56;1071
Navalagamella;;575,82;954
Rascafría;;674,54;1202
El Boalo;;71,68;231
Majadahonda;19;116,56;800
Batres;;0;170
Alcobendas;44;170,83;66
Alcalá de Henares;126;260,37;53
Colmenar Viejo;14;139,47;455
San Fernando de Henares;13;146,07;1300
Villalbilla;;134,29;1723
El Escorial;7;165,8;549
Colmenar del Arroyo;;0;421
Torrejón de Ardoz;26;95,8;1489
Piñuécar-Gandullas;;0;1147
Brea de Tajo;;0;259
El Molar;;63,49;869
Belmonte de Tajo;;236,97;199
Torres de la Alameda;;0;1548
Somosierra;;0;1436
Alpedrete;;173,01;105
Orusco de Tajuña;;289,86;1028
La Hiruela;;0;698
Cervera de Buitrago;;0;395
Getafe;62;138,25;650
Ribatejada;;0;1224
Villaconejos;;0;1701
Valdetorres de Jarama;12;1148,33;1646
Pozuelo de Alarcón;37;177,24;1150
Madrid-Retiro;31;79,27;79603
Madrid-Salamanca;34;76,94;79604
Madrid-Centro;13;43,39;79601
Madrid-Arganzuela;43;104,41;79602
Madrid-Chamartín;39;89,97;79605
Madrid-Tetuán;27;67,79;79606
Madrid-Chamberí;31;73,32;79607
Madrid-Fuencarral-El Pardo;50;75,95;79608
Madrid-Moncloa-Aravaca;37;108,64;79609
Madrid-Latina;120;166,23;79610
Madrid-Carabanchel;66;106,14;79611
Madrid-Usera;19;60,75;79612
Madrid-Puente de Vallecas;81;141,61;79613
Madrid-San Blas - Canillejas;43;113,49;79620
Madrid-Barajas;11;95,13;79621
Madrid-Moratalaz;27;87,42;79614
Madrid-Ciudad Lineal;56;88,4;79615
Madrid-Hortaleza;56;120,08;79616
Madrid-Villaverde;31;91,04;79617
Madrid-Villa de Vallecas;22;109,55;79618
Madrid-Vicálvaro;19;131,37;79619
Alcorcón;48;103,25;72
Navalcarnero;7;139,14;967
San Agustín del Guadalix;;145,21;1296
Las Rozas de Madrid;17;90,72;1277
Moraleja de Enmedio;;0;894
Valdaracete;;0;1551
Pozuelo del Rey;;0;1163
Puebla de la Sierra;;0;1185
Perales de Tajuña;;0;1104
Valdemorillo;;153,08;1603
Navalafuente;;0;941
Velilla de San Antonio;;53,45;1678
Villanueva de la Cañada;;104,74;1760
Villanueva del Pardillo;;46,34;1776
Nuevo Baztán;;72,89;1006
Villamantilla;;0;1757
Villamanta;;0;1744
Cabanillas de la Sierra;;0;297
Cenicientos;;0;376
Puentes Viejas;;0;9020
Aranjuez;10;73,78;133
Cercedilla;;56,02;382
Santorcaz;;0;1369
Coslada;19;81,5;493
Morata de Tajuña;;0;915
Robregordo;;0;1261
Navarredonda y San Mamés;;0;973
Venturada;;0;1697
Navacerrada;;0;936
Montejo de la Sierra;;813,01;881
Fresno de Torote;;219,78;571
Pinilla del Valle;;0;1126
Valdemaqueda;;0;1599
Navas del Rey;;135,87;992
Olmeda de las Fuentes;;0;1013
Bustarviejo;;0;284
Becerril de la Sierra;;146,31;186
Fuenlabrada;51;117,27;587
Garganta de los Montes;;0;626
Pinto;17;180,12;1132
Alameda del Valle;;0;35
Berzosa del Lozoya;;0;203
Los Santos de la Humosa;;0;1375
El Álamo;;132,8;40
Pelayos de la Presa;;0;1090
Galapagar;15;216,01;611
Griñón;;90,74;663
Gargantilla del Lozoya y Pinilla de Buitrago;;4901,96;632
Aldea del Fresno;;129,87;88
Carabaña;;0;357
Talamanca de Jarama;;137,74;1454
Chapinería;;369;513
Ciempozuelos;24;482,7;409
Ajalvir;6;839,16;29
San Lorenzo de El Escorial;7;155,8;1317
Gascones;;0;647
San Martín de la Vega;;66,42;1322
Móstoles;91;157,6;920
Leganés;75;143,84;745
Braojos;;0;246
Cubas de la Sagra;;101,42;506
Algete;22;532,69;91
Mejorada del Campo;;42,99;843
Loeches;;85,47;758
Parla;35;154,31;1065
Fuentidueña de Tajo;;175,44;604
Ambite;;595,24;112
Torremocha de Jarama;;0;1533
Anchuelo;;374,53;127
Los Molinos;;0;875
Soto del Real;;139,6;1441
Valverde de Alcalá;;0;1662
Fuente el Saz de Jarama;;0;590
Horcajo de la Sierra-Aoslos;;0;702
Valdeolmos-Alalpardo;;151,52;1625
Campo Real;;0;339
Valdeavero;;643,09;1564
Villamanrique de Tajo;;469,48;1739
Cobeña;;0;416
Fresnedillas de la Oliva;;304,88;565
Valdilecha;;0;1659
El Berrueco;;0;210
Pezuela de las Torres;;0;1111
Villar del Olmo;;668,15;1795
Guadarrama;7;182,24;685
San Martín de Valdeiglesias;;44,44;1338
Torrelodones;6;124,33;1527
Boadilla del Monte;;21,94;225
Torrejón de Velasco;;243,9;1505
Villanueva de Perales;;0;1782
Tielmes;;0;1467
San Sebastián de los Reyes;22;119,89;1343
Guadalix de la Sierra;;0;679
Humanes de Madrid;;177,18;730
Chinchón;;138,89;528
Cadalso de los Vidrios;;0;318
Hoyo de Manzanares;;0;724
Torrejón de la Calzada;;66,36;1492
Estremera;;0;552
Corpa;;0;480
Meco;;194,46;838
Madarcos;;0;783
Zarzalejo;;0;1837
Arganda del Rey;9;88,62;148
Collado Mediano;;64,64;468
Daganzo de Arriba;;0;534
Manzanares El Real;;59,7;822
Buitrago del Lozoya;;419,29;278
Valdelaguna;;0;1570
Valdepiélagos;;0;1631
Casarrubuelos;;154,8;360
Miraflores de la Sierra;6;433,21;856
Paracuellos de Jarama;;33,52;1049
El Vellón;;0;1684
Lozoya;;483,09;761
Collado Villalba;9;68,3;474
Colmenarejo;;60,31;442
Villavieja del Lozoya;;0;1821
Prádena del Rincón;;0;1179
La Cabrera;;312,5;301
Sevilla la Nueva;;0;1415
La Acebeda;;0;14
Redueña;;0;1219
Robledillo de la Jara;;0;1245
La Serna del Monte;;0;1381
Colmenar de Oreja;;95,6;437
Rozas de Puerto Real;;497,51;1283
Valdemanco;;0;1586
Brunete;;107,07;262
Titulcia;;0;1473
Villa del Prado;;252,21;1718
