municipio_distrito;fecha_informe;casos_confirmados_P60mas_ultimos_14dias;tasa_incidencia_acumulada_P60mas_ultimos_14dias;codigo_geometria
Cobeña;2022/11/29 10:47:00;6;565,5;416
Fresnedillas de la Oliva;2022/11/29 10:47:00;;1219,51;565
Valdilecha;2022/11/29 10:47:00;;654,66;1659
El Berrueco;2022/11/29 10:47:00;;0;210
Pezuela de las Torres;2022/11/29 10:47:00;;392,16;1111
Villar del Olmo;2022/11/29 10:47:00;;222,72;1795
Guadarrama;2022/11/29 10:47:00;6;156,21;685
San Martín de Valdeiglesias;2022/11/29 10:47:00;12;533,33;1338
Torrelodones;2022/11/29 10:47:00;8;165,77;1527
Boadilla del Monte;2022/11/29 10:47:00;26;285,24;225
Torrejón de Velasco;2022/11/29 10:47:00;;243,9;1505
Villanueva de Perales;2022/11/29 10:47:00;;357,14;1782
Tielmes;2022/11/29 10:47:00;;165,56;1467
San Sebastián de los Reyes;2022/11/29 10:47:00;64;348,77;1343
Guadalix de la Sierra;2022/11/29 10:47:00;29;2260,33;679
Humanes de Madrid;2022/11/29 10:47:00;11;389,79;730
Chinchón;2022/11/29 10:47:00;;0;528
Cadalso de los Vidrios;2022/11/29 10:47:00;;111,86;318
Hoyo de Manzanares;2022/11/29 10:47:00;;212,31;724
Torrejón de la Calzada;2022/11/29 10:47:00;;199,07;1492
Estremera;2022/11/29 10:47:00;;480,77;552
Corpa;2022/11/29 10:47:00;;0;480
Meco;2022/11/29 10:47:00;;243,07;838
Madarcos;2022/11/29 10:47:00;;5882,35;783
Zarzalejo;2022/11/29 10:47:00;;475,06;1837
Arganda del Rey;2022/11/29 10:47:00;28;275,7;148
Collado Mediano;2022/11/29 10:47:00;7;452,49;468
Daganzo de Arriba;2022/11/29 10:47:00;7;553,8;534
Manzanares El Real;2022/11/29 10:47:00;;298,51;822
Buitrago del Lozoya;2022/11/29 10:47:00;;209,64;278
Valdelaguna;2022/11/29 10:47:00;;0;1570
Valdepiélagos;2022/11/29 10:47:00;;1550,39;1631
Casarrubuelos;2022/11/29 10:47:00;;154,8;360
Miraflores de la Sierra;2022/11/29 10:47:00;14;1010,83;856
Paracuellos de Jarama;2022/11/29 10:47:00;7;234,66;1049
El Vellón;2022/11/29 10:47:00;;0;1684
Lozoya;2022/11/29 10:47:00;;0;761
Collado Villalba;2022/11/29 10:47:00;34;258,01;474
Colmenarejo;2022/11/29 10:47:00;;241,25;442
Villavieja del Lozoya;2022/11/29 10:47:00;;0;1821
Prádena del Rincón;2022/11/29 10:47:00;;0;1179
La Cabrera;2022/11/29 10:47:00;;156,25;301
Sevilla la Nueva;2022/11/29 10:47:00;;336,7;1415
La Acebeda;2022/11/29 10:47:00;;0;14
Redueña;2022/11/29 10:47:00;;0;1219
Robledillo de la Jara;2022/11/29 10:47:00;;0;1245
La Serna del Monte;2022/11/29 10:47:00;;0;1381
Colmenar de Oreja;2022/11/29 10:47:00;;95,6;437
Rozas de Puerto Real;2022/11/29 10:47:00;;497,51;1283
Valdemanco;2022/11/29 10:47:00;;387,6;1586
Brunete;2022/11/29 10:47:00;;267,67;262
Titulcia;2022/11/29 10:47:00;;662,25;1473
Villa del Prado;2022/11/29 10:47:00;7;441,36;1718
Lozoyuela-Navas-Sieteiglesias;2022/11/29 10:47:00;;552,49;9015
Quijorna;2022/11/29 10:47:00;;168,63;1198
Valdemoro;2022/11/29 10:47:00;44;400,73;1610
Tres Cantos;2022/11/29 10:47:00;29;288,44;9036
Torrelaguna;2022/11/29 10:47:00;9;830,26;1512
Rivas-Vaciamadrid;2022/11/29 10:47:00;26;189,34;1230
El Atazar;2022/11/29 10:47:00;;0;164
Pedrezuela;2022/11/29 10:47:00;23;2431,29;1087
Santa María de la Alameda;2022/11/29 10:47:00;;769,23;1356
Horcajuelo de la Sierra;2022/11/29 10:47:00;;0;719
Arroyomolinos;2022/11/29 10:47:00;13;404,48;151
Moralzarzal;2022/11/29 10:47:00;19;755,47;908
Canencia;2022/11/29 10:47:00;;0;344
Villarejo de Salvanés;2022/11/29 10:47:00;;115,21;1809
Serranillos del Valle;2022/11/29 10:47:00;;531,21;1408
Villaviciosa de Odón;2022/11/29 10:47:00;15;203,45;1816
Camarma de Esteruelas;2022/11/29 10:47:00;;323,89;323
Robledo de Chavela;2022/11/29 10:47:00;7;596,76;1258
Patones;2022/11/29 10:47:00;;1069,52;1071
Navalagamella;2022/11/29 10:47:00;8;1535,51;954
Rascafría;2022/11/29 10:47:00;;674,54;1202
El Boalo;2022/11/29 10:47:00;7;501,79;231
Majadahonda;2022/11/29 10:47:00;41;251,52;800
Batres;2022/11/29 10:47:00;;529,1;170
Alcobendas;2022/11/29 10:47:00;98;380,49;66
Alcalá de Henares;2022/11/29 10:47:00;150;309,96;53
Colmenar Viejo;2022/11/29 10:47:00;56;557,88;455
San Fernando de Henares;2022/11/29 10:47:00;29;325,84;1300
Villalbilla;2022/11/29 10:47:00;6;268,58;1723
El Escorial;2022/11/29 10:47:00;13;307,91;549
Colmenar del Arroyo;2022/11/29 10:47:00;;0;421
Torrejón de Ardoz;2022/11/29 10:47:00;63;232,12;1489
Piñuécar-Gandullas;2022/11/29 10:47:00;;0;1147
Brea de Tajo;2022/11/29 10:47:00;;0;259
El Molar;2022/11/29 10:47:00;;126,98;869
Belmonte de Tajo;2022/11/29 10:47:00;;236,97;199
Torres de la Alameda;2022/11/29 10:47:00;7;449,29;1548
Somosierra;2022/11/29 10:47:00;;0;1436
Alpedrete;2022/11/29 10:47:00;;173,01;105
Orusco de Tajuña;2022/11/29 10:47:00;;0;1028
La Hiruela;2022/11/29 10:47:00;;0;698
Cervera de Buitrago;2022/11/29 10:47:00;;0;395
Getafe;2022/11/29 10:47:00;160;356,78;650
Ribatejada;2022/11/29 10:47:00;;0;1224
Villaconejos;2022/11/29 10:47:00;;119,05;1701
Valdetorres de Jarama;2022/11/29 10:47:00;;95,69;1646
Pozuelo de Alarcón;2022/11/29 10:47:00;43;205,98;1150
Madrid-Retiro;2022/11/22 10:44:00;94;240,38;79603
Madrid-Salamanca;2022/11/22 10:44:00;72;162,93;79604
Madrid-Centro;2022/11/22 10:44:00;58;193,58;79601
Madrid-Arganzuela;2022/11/22 10:44:00;119;288,95;79602
Madrid-Chamartín;2022/11/22 10:44:00;116;267,61;79605
Madrid-Tetuán;2022/11/22 10:44:00;96;241,03;79606
Madrid-Chamberí;2022/11/22 10:44:00;81;191,58;79607
Madrid-Fuencarral-El Pardo;2022/11/22 10:44:00;184;279,49;79608
Madrid-Moncloa-Aravaca;2022/11/22 10:44:00;90;264,26;79609
Madrid-Latina;2022/11/22 10:44:00;198;274,28;79610
Madrid-Carabanchel;2022/11/22 10:44:00;155;249,26;79611
Madrid-Usera;2022/11/22 10:44:00;65;207,81;79612
Madrid-Puente de Vallecas;2022/11/22 10:44:00;218;381,11;79613
Madrid-San Blas - Canillejas;2022/11/22 10:44:00;105;277,13;79620
Madrid-Barajas;2022/11/22 10:44:00;45;389,17;79621
Madrid-Moratalaz;2022/11/22 10:44:00;118;382,04;79614
Madrid-Ciudad Lineal;2022/11/22 10:44:00;164;258,88;79615
Madrid-Hortaleza;2022/11/22 10:44:00;162;347,36;79616
Madrid-Villaverde;2022/11/22 10:44:00;82;240,82;79617
Madrid-Villa de Vallecas;2022/11/22 10:44:00;62;308,73;79618
Madrid-Vicálvaro;2022/11/22 10:44:00;61;421,77;79619
Alcorcón;2022/11/22 10:44:00;126;271,04;72
Navalcarnero;2022/11/22 10:44:00;7;139,14;967
San Agustín del Guadalix;2022/11/22 10:44:00;7;338,82;1296
Las Rozas de Madrid;2022/11/22 10:44:00;34;181,44;1277
Moraleja de Enmedio;2022/11/22 10:44:00;;290,98;894
Valdaracete;2022/11/22 10:44:00;;546,45;1551
Pozuelo del Rey;2022/11/22 10:44:00;;555,56;1163
Puebla de la Sierra;2022/11/22 10:44:00;;0;1185
Perales de Tajuña;2022/11/22 10:44:00;;291,12;1104
Valdemorillo;2022/11/22 10:44:00;7;267,89;1603
Navalafuente;2022/11/22 10:44:00;;735,29;941
Velilla de San Antonio;2022/11/22 10:44:00;;213,79;1678
Villanueva de la Cañada;2022/11/22 10:44:00;10;261,85;1760
Villanueva del Pardillo;2022/11/22 10:44:00;7;324,37;1776
Nuevo Baztán;2022/11/22 10:44:00;13;947,52;1006
Villamantilla;2022/11/22 10:44:00;;0;1757
Villamanta;2022/11/22 10:44:00;7;1002,87;1744
Cabanillas de la Sierra;2022/11/22 10:44:00;;529,1;297
Cenicientos;2022/11/22 10:44:00;6;873,36;376
Puentes Viejas;2022/11/22 10:44:00;;515,46;9020
Aranjuez;2022/11/22 10:44:00;38;280,36;133
Cercedilla;2022/11/22 10:44:00;12;672,27;382
Santorcaz;2022/11/22 10:44:00;;877,19;1369
Coslada;2022/11/22 10:44:00;92;394,65;493
Morata de Tajuña;2022/11/22 10:44:00;6;328,59;915
Robregordo;2022/11/22 10:44:00;;0;1261
Navarredonda y San Mamés;2022/11/22 10:44:00;;0;973
Venturada;2022/11/22 10:44:00;;873,36;1697
Navacerrada;2022/11/22 10:44:00;;370,83;936
Montejo de la Sierra;2022/11/22 10:44:00;;813,01;881
Fresno de Torote;2022/11/22 10:44:00;;439,56;571
Pinilla del Valle;2022/11/22 10:44:00;;0;1126
Valdemaqueda;2022/11/22 10:44:00;;1260,5;1599
Navas del Rey;2022/11/22 10:44:00;;679,35;992
Olmeda de las Fuentes;2022/11/22 10:44:00;;0;1013
Bustarviejo;2022/11/22 10:44:00;;0;284
Becerril de la Sierra;2022/11/22 10:44:00;;219,46;186
Fuenlabrada;2022/11/22 10:44:00;149;342,61;587
Garganta de los Montes;2022/11/22 10:44:00;;0;626
Pinto;2022/11/22 10:44:00;26;275,48;1132
Alameda del Valle;2022/11/22 10:44:00;;1315,79;35
Berzosa del Lozoya;2022/11/22 10:44:00;;0;203
Los Santos de la Humosa;2022/11/22 10:44:00;;0;1375
El Álamo;2022/11/22 10:44:00;;177,07;40
Pelayos de la Presa;2022/11/22 10:44:00;;421,35;1090
Galapagar;2022/11/22 10:44:00;20;288,02;611
Griñón;2022/11/22 10:44:00;10;453,72;663
Gargantilla del Lozoya y Pinilla de Buitrago;2022/11/22 10:44:00;;0;632
Aldea del Fresno;2022/11/22 10:44:00;;0;88
Carabaña;2022/11/22 10:44:00;;204,92;357
Talamanca de Jarama;2022/11/22 10:44:00;;137,74;1454
Chapinería;2022/11/22 10:44:00;;184,5;513
Ciempozuelos;2022/11/22 10:44:00;9;181,01;409
Ajalvir;2022/11/22 10:44:00;;699,3;29
San Lorenzo de El Escorial;2022/11/22 10:44:00;14;311,6;1317
Gascones;2022/11/22 10:44:00;;0;647
San Martín de la Vega;2022/11/22 10:44:00;6;199,27;1322
Móstoles;2022/11/22 10:44:00;237;410,45;920
Leganés;2022/11/22 10:44:00;216;414,25;745
Braojos;2022/11/22 10:44:00;;0;246
Cubas de la Sagra;2022/11/22 10:44:00;;304,26;506
Algete;2022/11/22 10:44:00;13;314,77;91
Mejorada del Campo;2022/11/22 10:44:00;13;279,45;843
Loeches;2022/11/22 10:44:00;;256,41;758
Parla;2022/11/22 10:44:00;55;242,49;1065
Fuentidueña de Tajo;2022/11/22 10:44:00;;0;604
Ambite;2022/11/22 10:44:00;;1785,71;112
Torremocha de Jarama;2022/11/22 10:44:00;;282,49;1533
Anchuelo;2022/11/22 10:44:00;;374,53;127
Los Molinos;2022/11/22 10:44:00;;245,7;875
Soto del Real;2022/11/22 10:44:00;6;279,2;1441
Valverde de Alcalá;2022/11/22 10:44:00;;0;1662
Fuente el Saz de Jarama;2022/11/22 10:44:00;;286,33;590
Horcajo de la Sierra-Aoslos;2022/11/22 10:44:00;;2040,82;702
Valdeolmos-Alalpardo;2022/11/22 10:44:00;;303,03;1625
Campo Real;2022/11/22 10:44:00;;87,8;339
Valdeavero;2022/11/22 10:44:00;;321,54;1564
Villamanrique de Tajo;2022/11/22 10:44:00;;0;1739
Cobeña;2022/11/22 10:44:00;6;565,5;416
Fresnedillas de la Oliva;2022/11/22 10:44:00;;1219,51;565
Valdilecha;2022/11/22 10:44:00;6;982;1659
El Berrueco;2022/11/22 10:44:00;;401,61;210
Pezuela de las Torres;2022/11/22 10:44:00;;0;1111
Villar del Olmo;2022/11/22 10:44:00;;668,15;1795
Guadarrama;2022/11/22 10:44:00;10;260,35;685
San Martín de Valdeiglesias;2022/11/22 10:44:00;11;488,89;1338
Torrelodones;2022/11/22 10:44:00;10;207,21;1527
Boadilla del Monte;2022/11/22 10:44:00;13;142,62;225
Torrejón de Velasco;2022/11/22 10:44:00;;365,85;1505
Villanueva de Perales;2022/11/22 10:44:00;;357,14;1782
Tielmes;2022/11/22 10:44:00;;165,56;1467
San Sebastián de los Reyes;2022/11/22 10:44:00;59;321,53;1343
Guadalix de la Sierra;2022/11/22 10:44:00;6;467,65;679
Humanes de Madrid;2022/11/22 10:44:00;17;602,41;730
Chinchón;2022/11/22 10:44:00;;138,89;528
Cadalso de los Vidrios;2022/11/22 10:44:00;;335,57;318
Hoyo de Manzanares;2022/11/22 10:44:00;;159,24;724
Torrejón de la Calzada;2022/11/22 10:44:00;;66,36;1492
Estremera;2022/11/22 10:44:00;;240,38;552
Corpa;2022/11/22 10:44:00;;0;480
Meco;2022/11/22 10:44:00;8;388,92;838
Madarcos;2022/11/22 10:44:00;;5882,35;783
Zarzalejo;2022/11/22 10:44:00;;237,53;1837
Arganda del Rey;2022/11/22 10:44:00;29;285,55;148
Collado Mediano;2022/11/22 10:44:00;6;387,85;468
Daganzo de Arriba;2022/11/22 10:44:00;;237,34;534
Manzanares El Real;2022/11/22 10:44:00;;298,51;822
Buitrago del Lozoya;2022/11/22 10:44:00;;209,64;278
Valdelaguna;2022/11/22 10:44:00;;0;1570
Valdepiélagos;2022/11/22 10:44:00;;0;1631
Casarrubuelos;2022/11/22 10:44:00;;154,8;360
Miraflores de la Sierra;2022/11/22 10:44:00;19;1371,84;856
Paracuellos de Jarama;2022/11/22 10:44:00;7;234,66;1049
El Vellón;2022/11/22 10:44:00;;0;1684
Lozoya;2022/11/22 10:44:00;;0;761
Collado Villalba;2022/11/22 10:44:00;49;371,83;474
Colmenarejo;2022/11/22 10:44:00;;241,25;442
Villavieja del Lozoya;2022/11/22 10:44:00;;0;1821
Prádena del Rincón;2022/11/22 10:44:00;;0;1179
La Cabrera;2022/11/22 10:44:00;;156,25;301
Sevilla la Nueva;2022/11/22 10:44:00;10;673,4;1415
La Acebeda;2022/11/22 10:44:00;;0;14
Redueña;2022/11/22 10:44:00;;0;1219
Robledillo de la Jara;2022/11/22 10:44:00;;0;1245
La Serna del Monte;2022/11/22 10:44:00;;0;1381
Colmenar de Oreja;2022/11/22 10:44:00;;143,4;437
Rozas de Puerto Real;2022/11/22 10:44:00;;497,51;1283
Valdemanco;2022/11/22 10:44:00;;775,19;1586
Brunete;2022/11/22 10:44:00;9;481,8;262
Titulcia;2022/11/22 10:44:00;;662,25;1473
Villa del Prado;2022/11/22 10:44:00;10;630,52;1718
Lozoyuela-Navas-Sieteiglesias;2022/11/22 10:44:00;;552,49;9015
Quijorna;2022/11/22 10:44:00;;674,54;1198
Valdemoro;2022/11/22 10:44:00;42;382,51;1610
Tres Cantos;2022/11/22 10:44:00;34;338,17;9036
Torrelaguna;2022/11/22 10:44:00;7;645,76;1512
Rivas-Vaciamadrid;2022/11/22 10:44:00;35;254,88;1230
El Atazar;2022/11/22 10:44:00;;0;164
Pedrezuela;2022/11/22 10:44:00;;422,83;1087
Santa María de la Alameda;2022/11/22 10:44:00;;1282,05;1356
Horcajuelo de la Sierra;2022/11/22 10:44:00;;0;719
Arroyomolinos;2022/11/22 10:44:00;18;560,05;151
Moralzarzal;2022/11/22 10:44:00;19;755,47;908
Canencia;2022/11/22 10:44:00;;0;344
Villarejo de Salvanés;2022/11/22 10:44:00;;172,81;1809
Serranillos del Valle;2022/11/22 10:44:00;;132,8;1408
Villaviciosa de Odón;2022/11/22 10:44:00;12;162,76;1816
Camarma de Esteruelas;2022/11/22 10:44:00;;323,89;323
Robledo de Chavela;2022/11/22 10:44:00;8;682,01;1258
Patones;2022/11/22 10:44:00;;0;1071
Navalagamella;2022/11/22 10:44:00;;767,75;954
Rascafría;2022/11/22 10:44:00;;674,54;1202
El Boalo;2022/11/22 10:44:00;6;430,11;231
Majadahonda;2022/11/22 10:44:00;52;319;800
Batres;2022/11/22 10:44:00;;793,65;170
Alcobendas;2022/11/22 10:44:00;96;372,73;66
Alcalá de Henares;2022/11/22 10:44:00;149;307,9;53
Colmenar Viejo;2022/11/22 10:44:00;58;577,8;455
San Fernando de Henares;2022/11/22 10:44:00;31;348,31;1300
Villalbilla;2022/11/22 10:44:00;;134,29;1723
El Escorial;2022/11/22 10:44:00;13;307,91;549
Colmenar del Arroyo;2022/11/22 10:44:00;;0;421
Torrejón de Ardoz;2022/11/22 10:44:00;62;228,44;1489
Piñuécar-Gandullas;2022/11/22 10:44:00;;0;1147
Brea de Tajo;2022/11/22 10:44:00;;0;259
El Molar;2022/11/22 10:44:00;;253,97;869
Belmonte de Tajo;2022/11/22 10:44:00;;236,97;199
Torres de la Alameda;2022/11/22 10:44:00;;320,92;1548
Somosierra;2022/11/22 10:44:00;;0;1436
Alpedrete;2022/11/22 10:44:00;6;207,61;105
Orusco de Tajuña;2022/11/22 10:44:00;;289,86;1028
La Hiruela;2022/11/22 10:44:00;;0;698
Cervera de Buitrago;2022/11/22 10:44:00;;0;395
Getafe;2022/11/22 10:44:00;171;381,3;650
Ribatejada;2022/11/22 10:44:00;;0;1224
Villaconejos;2022/11/22 10:44:00;;0;1701
Valdetorres de Jarama;2022/11/22 10:44:00;;287,08;1646
Pozuelo de Alarcón;2022/11/22 10:44:00;51;244,3;1150
Madrid-Retiro;2022/11/15 10:41:00;91;232,71;79603
Madrid-Salamanca;2022/11/15 10:41:00;86;194,61;79604
Madrid-Centro;2022/11/15 10:41:00;57;190,25;79601
Madrid-Arganzuela;2022/11/15 10:41:00;121;293,8;79602
Madrid-Chamartín;2022/11/15 10:41:00;119;274,54;79605
Madrid-Tetuán;2022/11/15 10:41:00;101;253,58;79606
Madrid-Chamberí;2022/11/15 10:41:00;84;198,68;79607
Madrid-Fuencarral-El Pardo;2022/11/15 10:41:00;162;246,07;79608
Madrid-Moncloa-Aravaca;2022/11/15 10:41:00;81;237,83;79609
Madrid-Latina;2022/11/15 10:41:00;200;277,05;79610
Madrid-Carabanchel;2022/11/15 10:41:00;115;184,94;79611
Madrid-Usera;2022/11/15 10:41:00;49;156,66;79612
Madrid-Puente de Vallecas;2022/11/15 10:41:00;189;330,41;79613
Madrid-San Blas - Canillejas;2022/11/15 10:41:00;100;263,93;79620
Madrid-Barajas;2022/11/15 10:41:00;37;319,99;79621
Madrid-Moratalaz;2022/11/15 10:41:00;113;365,85;79614
Madrid-Ciudad Lineal;2022/11/15 10:41:00;159;250,99;79615
Madrid-Hortaleza;2022/11/15 10:41:00;138;295,9;79616
Madrid-Villaverde;2022/11/15 10:41:00;66;193,83;79617
Madrid-Villa de Vallecas;2022/11/15 10:41:00;64;318,69;79618
Madrid-Vicálvaro;2022/11/15 10:41:00;49;338,8;79619
Alcorcón;2022/11/15 10:41:00;128;275,34;72
Navalcarnero;2022/11/15 10:41:00;8;159,01;967
San Agustín del Guadalix;2022/11/15 10:41:00;10;484,03;1296
Las Rozas de Madrid;2022/11/15 10:41:00;35;186,78;1277
Moraleja de Enmedio;2022/11/15 10:41:00;;193,99;894
Valdaracete;2022/11/15 10:41:00;;546,45;1551
Pozuelo del Rey;2022/11/15 10:41:00;;555,56;1163
Puebla de la Sierra;2022/11/15 10:41:00;;0;1185
Perales de Tajuña;2022/11/15 10:41:00;;291,12;1104
Valdemorillo;2022/11/15 10:41:00;10;382,7;1603
Navalafuente;2022/11/15 10:41:00;;0;941
Velilla de San Antonio;2022/11/15 10:41:00;;213,79;1678
Villanueva de la Cañada;2022/11/15 10:41:00;7;183,29;1760
Villanueva del Pardillo;2022/11/15 10:41:00;11;509,73;1776
Nuevo Baztán;2022/11/15 10:41:00;10;728,86;1006
Villamantilla;2022/11/15 10:41:00;;0;1757
Villamanta;2022/11/15 10:41:00;;143,27;1744
Cabanillas de la Sierra;2022/11/15 10:41:00;;0;297
Cenicientos;2022/11/15 10:41:00;7;1018,92;376
Puentes Viejas;2022/11/15 10:41:00;;515,46;9020
Aranjuez;2022/11/15 10:41:00;34;250,85;133
Cercedilla;2022/11/15 10:41:00;14;784,31;382
Santorcaz;2022/11/15 10:41:00;;438,6;1369
Coslada;2022/11/15 10:41:00;91;390,36;493
Morata de Tajuña;2022/11/15 10:41:00;6;328,59;915
Robregordo;2022/11/15 10:41:00;;0;1261
Navarredonda y San Mamés;2022/11/15 10:41:00;;1724,14;973
Venturada;2022/11/15 10:41:00;;436,68;1697
Navacerrada;2022/11/15 10:41:00;;494,44;936
Montejo de la Sierra;2022/11/15 10:41:00;;813,01;881
Fresno de Torote;2022/11/15 10:41:00;;439,56;571
Pinilla del Valle;2022/11/15 10:41:00;;0;1126
Valdemaqueda;2022/11/15 10:41:00;;0;1599
Navas del Rey;2022/11/15 10:41:00;;407,61;992
Olmeda de las Fuentes;2022/11/15 10:41:00;;2702,7;1013
Bustarviejo;2022/11/15 10:41:00;;0;284
Becerril de la Sierra;2022/11/15 10:41:00;;365,76;186
Fuenlabrada;2022/11/15 10:41:00;143;328,81;587
Garganta de los Montes;2022/11/15 10:41:00;;0;626
Pinto;2022/11/15 10:41:00;29;307,27;1132
Alameda del Valle;2022/11/15 10:41:00;;0;35
Berzosa del Lozoya;2022/11/15 10:41:00;;0;203
Los Santos de la Humosa;2022/11/15 10:41:00;;249,38;1375
El Álamo;2022/11/15 10:41:00;6;265,6;40
Pelayos de la Presa;2022/11/15 10:41:00;;280,9;1090
Galapagar;2022/11/15 10:41:00;17;244,82;611
Griñón;2022/11/15 10:41:00;13;589,84;663
Gargantilla del Lozoya y Pinilla de Buitrago;2022/11/15 10:41:00;;0;632
Aldea del Fresno;2022/11/15 10:41:00;;0;88
Carabaña;2022/11/15 10:41:00;;204,92;357
Talamanca de Jarama;2022/11/15 10:41:00;;137,74;1454
Chapinería;2022/11/15 10:41:00;;184,5;513
Ciempozuelos;2022/11/15 10:41:00;13;261,46;409
Ajalvir;2022/11/15 10:41:00;6;839,16;29
San Lorenzo de El Escorial;2022/11/15 10:41:00;8;178,05;1317
Gascones;2022/11/15 10:41:00;;4255,32;647
San Martín de la Vega;2022/11/15 10:41:00;9;298,9;1322
Móstoles;2022/11/15 10:41:00;237;410,45;920
Leganés;2022/11/15 10:41:00;197;377,81;745
Braojos;2022/11/15 10:41:00;;0;246
Cubas de la Sagra;2022/11/15 10:41:00;;101,42;506
Algete;2022/11/15 10:41:00;9;217,92;91
Mejorada del Campo;2022/11/15 10:41:00;16;343,94;843
Loeches;2022/11/15 10:41:00;;85,47;758
Parla;2022/11/15 10:41:00;52;229,27;1065
Fuentidueña de Tajo;2022/11/15 10:41:00;;350,88;604
Ambite;2022/11/15 10:41:00;;1785,71;112
Torremocha de Jarama;2022/11/15 10:41:00;;0;1533
Anchuelo;2022/11/15 10:41:00;;0;127
Los Molinos;2022/11/15 10:41:00;;163,8;875
Soto del Real;2022/11/15 10:41:00;;93,07;1441
Valverde de Alcalá;2022/11/15 10:41:00;;0;1662
Fuente el Saz de Jarama;2022/11/15 10:41:00;;71,58;590
Horcajo de la Sierra-Aoslos;2022/11/15 10:41:00;;6122,45;702
Valdeolmos-Alalpardo;2022/11/15 10:41:00;;0;1625
Campo Real;2022/11/15 10:41:00;;0;339
Valdeavero;2022/11/15 10:41:00;;321,54;1564
Villamanrique de Tajo;2022/11/15 10:41:00;;469,48;1739
Cobeña;2022/11/15 10:41:00;;377;416
Fresnedillas de la Oliva;2022/11/15 10:41:00;;304,88;565
Valdilecha;2022/11/15 10:41:00;;818,33;1659
El Berrueco;2022/11/15 10:41:00;;401,61;210
Pezuela de las Torres;2022/11/15 10:41:00;;0;1111
Villar del Olmo;2022/11/15 10:41:00;;445,43;1795
Guadarrama;2022/11/15 10:41:00;11;286,38;685
San Martín de Valdeiglesias;2022/11/15 10:41:00;6;266,67;1338
Torrelodones;2022/11/15 10:41:00;7;145,05;1527
Boadilla del Monte;2022/11/15 10:41:00;12;131,65;225
Torrejón de Velasco;2022/11/15 10:41:00;7;853,66;1505
Villanueva de Perales;2022/11/15 10:41:00;;0;1782
Tielmes;2022/11/15 10:41:00;;165,56;1467
San Sebastián de los Reyes;2022/11/15 10:41:00;48;261,58;1343
Guadalix de la Sierra;2022/11/15 10:41:00;;311,77;679
Humanes de Madrid;2022/11/15 10:41:00;17;602,41;730
Chinchón;2022/11/15 10:41:00;;277,78;528
Cadalso de los Vidrios;2022/11/15 10:41:00;;447,43;318
Hoyo de Manzanares;2022/11/15 10:41:00;;53,08;724
Torrejón de la Calzada;2022/11/15 10:41:00;;265,43;1492
Estremera;2022/11/15 10:41:00;;0;552
Corpa;2022/11/15 10:41:00;;0;480
Meco;2022/11/15 10:41:00;9;437,53;838
Madarcos;2022/11/15 10:41:00;;0;783
Zarzalejo;2022/11/15 10:41:00;;237,53;1837
Arganda del Rey;2022/11/15 10:41:00;26;256,01;148
Collado Mediano;2022/11/15 10:41:00;;323,21;468
Daganzo de Arriba;2022/11/15 10:41:00;;0;534
Manzanares El Real;2022/11/15 10:41:00;7;417,91;822
Buitrago del Lozoya;2022/11/15 10:41:00;;209,64;278
Valdelaguna;2022/11/15 10:41:00;;0;1570
Valdepiélagos;2022/11/15 10:41:00;;775,19;1631
Casarrubuelos;2022/11/15 10:41:00;;309,6;360
Miraflores de la Sierra;2022/11/15 10:41:00;11;794,22;856
Paracuellos de Jarama;2022/11/15 10:41:00;10;335,23;1049
El Vellón;2022/11/15 10:41:00;;0;1684
Lozoya;2022/11/15 10:41:00;;0;761
Collado Villalba;2022/11/15 10:41:00;48;364,24;474
Colmenarejo;2022/11/15 10:41:00;6;361,88;442
Villavieja del Lozoya;2022/11/15 10:41:00;;0;1821
Prádena del Rincón;2022/11/15 10:41:00;;0;1179
La Cabrera;2022/11/15 10:41:00;;312,5;301
Sevilla la Nueva;2022/11/15 10:41:00;11;740,74;1415
La Acebeda;2022/11/15 10:41:00;;0;14
Redueña;2022/11/15 10:41:00;;0;1219
Robledillo de la Jara;2022/11/15 10:41:00;;0;1245
La Serna del Monte;2022/11/15 10:41:00;;0;1381
Colmenar de Oreja;2022/11/15 10:41:00;;191,2;437
Rozas de Puerto Real;2022/11/15 10:41:00;;497,51;1283
Valdemanco;2022/11/15 10:41:00;;387,6;1586
Brunete;2022/11/15 10:41:00;9;481,8;262
Titulcia;2022/11/15 10:41:00;;0;1473
Villa del Prado;2022/11/15 10:41:00;8;504,41;1718
Lozoyuela-Navas-Sieteiglesias;2022/11/15 10:41:00;;0;9015
Quijorna;2022/11/15 10:41:00;;505,9;1198
Valdemoro;2022/11/15 10:41:00;42;382,51;1610
Tres Cantos;2022/11/15 10:41:00;32;318,28;9036
Torrelaguna;2022/11/15 10:41:00;;461,25;1512
Rivas-Vaciamadrid;2022/11/15 10:41:00;32;233,03;1230
El Atazar;2022/11/15 10:41:00;;0;164
Pedrezuela;2022/11/15 10:41:00;6;634,25;1087
Santa María de la Alameda;2022/11/15 10:41:00;;1025,64;1356
Horcajuelo de la Sierra;2022/11/15 10:41:00;;0;719
Arroyomolinos;2022/11/15 10:41:00;19;591,16;151
Moralzarzal;2022/11/15 10:41:00;7;278,33;908
Canencia;2022/11/15 10:41:00;;0;344
Villarejo de Salvanés;2022/11/15 10:41:00;;230,41;1809
Serranillos del Valle;2022/11/15 10:41:00;;398,41;1408
