municipio_distrito;fecha_informe;casos_confirmados_P60mas_ultimos_14dias;tasa_incidencia_acumulada_P60mas_ultimos_14dias;codigo_geometria
Pelayos de la Presa;2023/05/02 11:38:00;;0;1090
Galapagar;2023/05/02 11:38:00;11;158,41;611
Griñón;2023/05/02 11:38:00;;45,37;663
Gargantilla del Lozoya y Pinilla de Buitrago;2023/05/02 11:38:00;;0;632
Aldea del Fresno;2023/05/02 11:38:00;;0;88
Carabaña;2023/05/02 11:38:00;;204,92;357
Talamanca de Jarama;2023/05/02 11:38:00;;688,71;1454
Chapinería;2023/05/02 11:38:00;;369;513
Ciempozuelos;2023/05/02 11:38:00;10;201,13;409
Ajalvir;2023/05/02 11:38:00;;419,58;29
San Lorenzo de El Escorial;2023/05/02 11:38:00;7;155,8;1317
Gascones;2023/05/02 11:38:00;;0;647
San Martín de la Vega;2023/05/02 11:38:00;9;298,9;1322
Móstoles;2023/05/02 11:38:00;125;216,48;920
Leganés;2023/05/02 11:38:00;112;214,79;745
Braojos;2023/05/02 11:38:00;;0;246
Cubas de la Sagra;2023/05/02 11:38:00;;202,84;506
Algete;2023/05/02 11:38:00;10;242,13;91
Mejorada del Campo;2023/05/02 11:38:00;;64,49;843
Loeches;2023/05/02 11:38:00;;0;758
Parla;2023/05/02 11:38:00;45;198,4;1065
Fuentidueña de Tajo;2023/05/02 11:38:00;;0;604
Ambite;2023/05/02 11:38:00;;595,24;112
Torremocha de Jarama;2023/05/02 11:38:00;;564,97;1533
Anchuelo;2023/05/02 11:38:00;;374,53;127
Los Molinos;2023/05/02 11:38:00;;163,8;875
Soto del Real;2023/05/02 11:38:00;;93,07;1441
Valverde de Alcalá;2023/05/02 11:38:00;;0;1662
Fuente el Saz de Jarama;2023/05/02 11:38:00;7;501,07;590
Horcajo de la Sierra-Aoslos;2023/05/02 11:38:00;;0;702
Valdeolmos-Alalpardo;2023/05/02 11:38:00;;151,52;1625
Campo Real;2023/05/02 11:38:00;;87,8;339
Valdeavero;2023/05/02 11:38:00;;964,63;1564
Villamanrique de Tajo;2023/05/02 11:38:00;;0;1739
Cobeña;2023/05/02 11:38:00;;0;416
Fresnedillas de la Oliva;2023/05/02 11:38:00;;0;565
Valdilecha;2023/05/02 11:38:00;;327,33;1659
El Berrueco;2023/05/02 11:38:00;;0;210
Pezuela de las Torres;2023/05/02 11:38:00;;0;1111
Villar del Olmo;2023/05/02 11:38:00;;890,87;1795
Guadarrama;2023/05/02 11:38:00;;130,17;685
San Martín de Valdeiglesias;2023/05/02 11:38:00;;177,78;1338
Torrelodones;2023/05/02 11:38:00;7;145,05;1527
Boadilla del Monte;2023/05/02 11:38:00;35;383,98;225
Torrejón de Velasco;2023/05/02 11:38:00;;0;1505
Villanueva de Perales;2023/05/02 11:38:00;;0;1782
Tielmes;2023/05/02 11:38:00;;0;1467
San Sebastián de los Reyes;2023/05/02 11:38:00;27;147,14;1343
Guadalix de la Sierra;2023/05/02 11:38:00;;77,94;679
Humanes de Madrid;2023/05/02 11:38:00;;141,74;730
Chinchón;2023/05/02 11:38:00;;347,22;528
Cadalso de los Vidrios;2023/05/02 11:38:00;;111,86;318
Hoyo de Manzanares;2023/05/02 11:38:00;;106,16;724
Torrejón de la Calzada;2023/05/02 11:38:00;;265,43;1492
Estremera;2023/05/02 11:38:00;;0;552
Corpa;2023/05/02 11:38:00;;645,16;480
Meco;2023/05/02 11:38:00;;97,23;838
Madarcos;2023/05/02 11:38:00;;0;783
Zarzalejo;2023/05/02 11:38:00;;475,06;1837
Arganda del Rey;2023/05/02 11:38:00;16;157,54;148
Collado Mediano;2023/05/02 11:38:00;;64,64;468
Daganzo de Arriba;2023/05/02 11:38:00;;158,23;534
Manzanares El Real;2023/05/02 11:38:00;;59,7;822
Buitrago del Lozoya;2023/05/02 11:38:00;;0;278
Valdelaguna;2023/05/02 11:38:00;;0;1570
Valdepiélagos;2023/05/02 11:38:00;;0;1631
Casarrubuelos;2023/05/02 11:38:00;;154,8;360
Miraflores de la Sierra;2023/05/02 11:38:00;;216,61;856
Paracuellos de Jarama;2023/05/02 11:38:00;7;234,66;1049
El Vellón;2023/05/02 11:38:00;;233,1;1684
Lozoya;2023/05/02 11:38:00;;483,09;761
Collado Villalba;2023/05/02 11:38:00;10;75,88;474
Colmenarejo;2023/05/02 11:38:00;;0;442
Villavieja del Lozoya;2023/05/02 11:38:00;;0;1821
Prádena del Rincón;2023/05/02 11:38:00;;0;1179
La Cabrera;2023/05/02 11:38:00;;312,5;301
Sevilla la Nueva;2023/05/02 11:38:00;;202,02;1415
La Acebeda;2023/05/02 11:38:00;;0;14
Redueña;2023/05/02 11:38:00;;0;1219
Robledillo de la Jara;2023/05/02 11:38:00;;0;1245
La Serna del Monte;2023/05/02 11:38:00;;0;1381
Colmenar de Oreja;2023/05/02 11:38:00;;239,01;437
Rozas de Puerto Real;2023/05/02 11:38:00;;497,51;1283
Valdemanco;2023/05/02 11:38:00;;0;1586
Brunete;2023/05/02 11:38:00;;160,6;262
Titulcia;2023/05/02 11:38:00;;331,13;1473
Villa del Prado;2023/05/02 11:38:00;8;504,41;1718
Lozoyuela-Navas-Sieteiglesias;2023/05/02 11:38:00;;0;9015
Quijorna;2023/05/02 11:38:00;;168,63;1198
Valdemoro;2023/05/02 11:38:00;49;446,27;1610
Tres Cantos;2023/05/02 11:38:00;10;99,46;9036
Torrelaguna;2023/05/02 11:38:00;;184,5;1512
Rivas-Vaciamadrid;2023/05/02 11:38:00;11;80,1;1230
El Atazar;2023/05/02 11:38:00;;0;164
Pedrezuela;2023/05/02 11:38:00;;211,42;1087
Santa María de la Alameda;2023/05/02 11:38:00;;0;1356
Horcajuelo de la Sierra;2023/05/02 11:38:00;;0;719
Arroyomolinos;2023/05/02 11:38:00;;93,34;151
